OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
58,17/4/16 02:13,294.836.000.000.000.000.000,0.9769704,0.00527592,-80.384.887.699.999.800,10.000.000.000.000.000,3.956.774.040.000.000,57.000.000.000.000.000,54.000.000.000.000.000,57.000.000.000.000.000,54.000.000.000.000.000,0.89986539,236.430.412.300.000.000,2.701.249.600.000.000,0.32357788,2.142.919.780.000.000,17/4/16 02:13
59,17/4/16 02:17,236.209.000.000.000.000.000,0.69225346,-0.17628317,-80.657.043.459.999.800,6.171.785.350.000.000,5.179.055.520.000.000,102.000.000.000.000.000,65.000.000.000.000.000,100.000.000.000.000.000,63.000.000.000.000.000,0.6207522,214.370.861.100.000.000,3.191.321.370.000.000,0.4576613,2.263.325.690.000.000,17/4/16 02:17
60,17/4/16 02:23,535.135.000.000.000.000.000,1.089.372.650.000.000,0.27578485,-80.159.538.269.999.800,9.601.118.090.000.000,4.235.831.640.000.000,67.000.000.000.000.000,67.000.000.000.000.000,66.000.000.000.000.000,66.000.000.000.000.000,0.76155854,240.347.126.000.000.000,2.674.983.030.000.000,0.5175339,1.985.609.410.000.000,17/4/16 02:23
61,17/4/16 02:23,177.703.000.000.000.000.000,0.86226847,0.01644831,-80.247.550.959.999.800,10.000.000.000.000.000,4.330.378.730.000.000,76.000.000.000.000.000,69.000.000.000.000.000,75.000.000.000.000.000,68.000.000.000.000.000,1.031.725.020.000.000,217.703.924.199.998.000,2.739.690.780.000.000,0.28506219,1.941.964.750.000.000,17/4/16 02:23
62,17/4/16 02:45,300.628.000.000.000.000.000,0.93128442,-0.16846842,-80.727.249.150.000.000,4.340.641.020.000.000,4.309.554.230.000.000,75.000.000.000.000.000,73.000.000.000.000.000,73.000.000.000.000.000,71.000.000.000.000.000,0.71397705,247.242.363.000.000.000,3.253.204.350.000.000,0.52804726,2.375.268.700.000.000,17/4/16 02:45
63,17/4/16 02:48,55.873.000.000.000.000.000,0.70429184,-0.17338763,-80.755.783.080.000.000,10.000.000.000.000.000,4.141.271.930.000.000,69.000.000.000.000.000,57.000.000.000.000.000,68.000.000.000.000.000,56.000.000.000.000.000,0.64935682,280.055.213.900.000.000,3.053.336.140.000.000,0.5552572,2.365.564.590.000.000,17/4/16 02:48
64,17/4/16 03:05,223.596.000.000.000.000.000,0.54595753,0.37132066,-80.308.509.830.000.000,8.359.347.339.999.990,5.083.964.860.000.000,102.000.000.000.000.000,98.000.000.000.000.000,97.000.000.000.000.000,93.000.000.000.000.000,0.92140642,228.617.107.400.000.000,5.328.665.260.000.000,0.6427002,2.229.992.390.000.000,17/4/16 03:05
65,17/4/16 03:09,597.690.000.000.000.000.000,0.52105415,-0.02786934,-80.309.608.460.000.000,9.223.544.120.000.000,4.275.055.010.000.000,92.000.000.000.000.000,89.000.000.000.000.000,87.000.000.000.000.000,84.000.000.000.000.000,0.9313352,186.359.348.299.999.000,3.504.855.160.000.000,0.25891089,2.016.780.850.000.000,17/4/16 03:09
66,17/4/16 03:16,811.425.000.000.000.000.000,0.94835372,0.38772288,-80.531.425.479.999.800,6.730.991.360.000.000,3.963.251.570.000.000,52.000.000.000.000.000,52.000.000.000.000.000,48.000.000.000.000.000,48.000.000.000.000.000,0.85396851,262.421.279.900.000.000,2.896.252.390.000.000,0.72683716,2.274.042.130.000.000,17/4/16 03:16
67,17/4/16 04:02,440.770.000.000.000.000.000,0.40714056,-0.11849739,-80.865.661.619.999.800,10.000.000.000.000.000,4.752.264.760.000.000,110.000.000.000.000.000,99.000.000.000.000.000,105.000.000.000.000.000,96.000.000.000.000.000,0.90796243,228.527.572.600.000.000,4.319.869.040.000.000,0.67368692,2.502.258.540.000.000,17/4/16 04:02
68,17/4/16 04:04,4.934.000.000.000.000.000,1.164.039.710.000.000,0.53910863,-80.051.979.059.999.800,6.399.788.860.000.000,4.155.244.490.000.000,20.000.000.000.000.000,20.000.000.000.000.000,18.000.000.000.000.000,18.000.000.000.000.000,0.78588425,228.970.651.600.000.000,2.120.640.040.000.000,0.33116362,0.91113019,17/4/16 04:04
69,17/4/16 04:25,947.155.000.000.000.000.000,0.39379234,-0.45439431,-80.380.104.059.999.800,8.436.708.449.999.990,4.042.469.920.000.000,100.000.000.000.000.000,100.000.000.000.000.000,97.000.000.000.000.000,97.000.000.000.000.000,1.181.893.260.000.000,179.820.579.500.000.000,4.550.615.790.000.000,0.25256148,2.119.891.410.000.000,17/4/16 04:25
70,17/4/16 04:30,212.390.000.000.000.000.000,0.47040734,-0.10212139,-80.444.488.530.000.000,5.358.456.610.000.000,4.029.640.520.000.000,91.000.000.000.000.000,89.000.000.000.000.000,87.000.000.000.000.000,85.000.000.000.000.000,0.92206813,196.438.709.300.000.000,4.267.302.040.000.000,0.28771713,2.123.917.580.000.000,17/4/16 04:30
